año,escuela,estado,municipio,comunidad,riesgo,longitud,latitud
2014.0,Otras,Baja California,Tecate,Ejido Mi Ranchito (Chula Vista),bajo,-116.34,32.53
2014.0,Otras,Yucatan,Tecoh,Telchaquillo,bajo,-89.46,20.65
2014.0,,Chiapas,Tecpatan,Nueva Alianza,alto,-93.75,17.12
2014.0,,Veracruz,Tehuipango,Zacatlaixco,alto,-97.05,18.51
2014.0,Otras,Veracruz,Tehuipango,Xaltepec,alto,-97.05,18.52
2014.0,,Yucatan,Tekax,Manuel Cepeda Peraza,bajo,-89.25,20.15
2014.0,Otras,Hidalgo,Tenango de Doria,Santa Monica,medio,-98.22,20.31
2014.0,,Chiapas,Teopisca,San Isidro Chichihuistan,alto,-92.56,16.6
2014.0,,Zacatecas,Tepechitlan,Rancho Nuevo,alto,-103.325984680417,21.6691759281162
2014.0,,Guerrero,Tepecoacuilco de Trujano,Rincon de la Cocina,bajo,-99.47,18.24
2014.0,,Hidalgo,Tepehuacan de Guerrero,Zacualtipanito (Zacualtipancito),alto,-98.8,21.15
2014.0,,Morelos,Tepoztlan,Santiago Tepetlapa,bajo,-99.08,18.97
2014.0,,Queretaro,Tequisquiapan,San Jose de La Laja,bajo,-99.97,20.62
2014.0,,Puebla,Teziutlan,Xoloateno,alto,-97.37,19.83
2014.0,,Chiapas,Tila,Cumbre Cuesta,alto,-92.55,17.32
2014.0,,Yucatan,Tinum,Tohopku,alto,-88.46,20.65
2014.0,,Yucatan,Tixkokob,Euan,bajo,-89.34,21
2014.0,,Yucatan,Tizimin,San Juan Kilometro Cuatro,bajo,-87.69,21.19
